序号,系统字段,建议飞书表头,默认必填,访问范围,说明
1,submittedAt,报名时间,是,核心管理员,服务端生成
2,updatedAt,更新时间,是,核心管理员,用于重复报名更新
3,eventId,活动ID,是,核心管理员,区分不同场次
4,submissionId,报名编号,是,可对报名者公开,不可逆稳定编号
5,name,姓名,是,核心管理员,常用联系字段
6,email,联系邮箱,是,核心管理员,可作为幂等键之一
7,phone,手机号码,按活动决定,核心管理员,非必要时不收集
8,organization,公司/学校,按活动决定,筛选人员,组织背景
9,role,角色/身份,按活动决定,筛选人员,使用活动自定义枚举
10,track,意向赛道,按活动决定,筛选人员,来自活动配置
11,teamMode,参赛方式,按活动决定,筛选人员,个人/组队等
12,teamName,队伍名称,否,筛选人员,未组队可空
13,projectIdea,项目或创意说明,按活动决定,筛选人员,长文本
14,portfolioUrl,项目/作品链接,否,筛选人员,GitHub/Demo/视频等
15,source,来源渠道,是,市场管理员,官网/社群/合作方等
16,utmSource,UTM Source,否,市场管理员,从URL获取
17,utmCampaign,UTM Campaign,否,市场管理员,从URL获取
18,consentVersion,隐私同意版本,是,核心管理员,保存版本和时间
19,syncStatus,飞书同步状态,是,数据管理员,pending/synced/failed
20,syncError,同步错误,否,数据管理员,不向普通协作者公开
21,screeningStatus,筛选状态,按活动决定,筛选人员,待筛选/入围/候补/未通过
22,notes,内部备注,否,核心管理员,不得存放无关敏感信息
